"Age","Income","HomeVal","TractID","Tenure","DirectDeposit","Loan","NumAccounts","Dist","MktShare","Churn"
47,6.5,22.5,6,3.151266256,0,0,2,1.545344828,0.07813204,0
42,6.5,22.5,6,3.383983573,1,0,2,1.545344828,0.07813204,1
72,6.5,16.3,6,1.062286105,0,0,2,1.545344828,0.07813204,0
67,1.8,16.3,6,1.448323066,1,0,3,1.545344828,0.07813204,0
52,13.5,27.5,6,1.500342231,0,0,2,1.545344828,0.07813204,0
62,2.3,11.3,6,2.683093771,1,0,1,1.545344828,0.07813204,1
70,3.3,16.3,6,16.5065024,1,0,1,1.545344828,0.07813204,0
72,0.5,1.3,6,2.595482546,1,0,2,1.545344828,0.07813204,0
72,8.5,22.5,6,2.376454483,1,0,1,1.545344828,0.07813204,0
77,3.3,13.7,6,1.793292266,0,0,1,1.545344828,0.07813204,0
42,11.5,22.5,6,1.768651609,1,0,2,1.545344828,0.07813204,0
67,3.8,18.7,6,2.056125941,0,0,1,1.545344828,0.07813204,1
57,4.8,22.5,6,2.740588638,0,0,1,1.545344828,0.07813204,0
62,10.5,32.5,6,23.02806297,1,1,3,1.545344828,0.07813204,0
42,5.8,13.7,6,15.8384668,1,0,4,1.545344828,0.07813204,1
57,11.5,27.5,6,17.13073238,0,0,3,1.545344828,0.07813204,0
57,5.3,22.5,6,6.92128679,0,0,2,1.545344828,0.07813204,1
62,9.5,32.5,6,44.99931554,1,1,4,1.545344828,0.07813204,0
52,3.8,22.5,6,10.72416153,0,0,1,1.545344828,0.07813204,0
57,4.8,22.5,6,11.32648871,0,0,3,1.545344828,0.07813204,0
37,5.8,27.5,6,19.69062286,1,0,3,1.545344828,0.07813204,0
57,8.5,22.5,6,7.000684463,1,0,3,1.545344828,0.07813204,0
67,9.5,27.5,6,35.95893224,0,1,5,1.545344828,0.07813204,0
67,0.5,16.3,6,18.59000685,1,0,2,1.545344828,0.07813204,0
52,9.5,18.7,6,26.64750171,0,0,2,1.545344828,0.07813204,0
52,9.5,22.5,6,17.41273101,1,1,5,1.545344828,0.07813204,1
47,9.5,18.7,6,6.620123203,1,0,3,1.545344828,0.07813204,0
52,15,37.5,6,34.99794661,1,1,3,1.545344828,0.07813204,0
52,7.5,22.5,6,6.247775496,0,1,2,1.545344828,0.07813204,0
47,11.5,22.5,6,6.239561944,1,1,3,1.545344828,0.07813204,1
52,7.5,22.5,6,6.201232033,0,0,4,1.545344828,0.07813204,1
57,9.5,18.7,6,6.250513347,1,0,3,1.545344828,0.07813204,0
62,9.5,18.7,6,6.162902122,1,0,3,1.545344828,0.07813204,0
57,12.5,22.5,6,6.149212868,0,1,5,1.545344828,0.07813204,0
37,4.8,16.3,6,6.15468857,0,0,3,1.545344828,0.07813204,1
52,8.5,32.5,6,5.971252567,1,1,3,1.545344828,0.07813204,0
72,10.5,27.5,6,9.894592745,1,0,4,1.545344828,0.07813204,0
77,15,150,6,5.98220397,1,1,5,1.545344828,0.07813204,0
57,9.5,22.5,6,5.965776865,0,0,2,1.545344828,0.07813204,0
52,7.5,22.5,6,5.921971253,0,0,3,1.545344828,0.07813204,1
42,8.5,32.5,6,5.911019849,1,1,3,1.545344828,0.07813204,1
52,8.5,18.7,6,4.703627652,0,0,1,1.545344828,0.07813204,0
52,8.5,22.5,6,4.45174538,0,0,1,1.545344828,0.07813204,0
37,5.3,16.3,6,5.615331964,0,0,1,1.545344828,0.07813204,0
72,3.3,18.7,6,2.184804928,1,1,2,1.545344828,0.07813204,0
42,7.5,27.5,6,3.389459275,1,1,4,1.545344828,0.07813204,0
77,4.8,22.5,6,5.708418891,1,0,1,1.545344828,0.07813204,0
42,8.5,18.7,6,1.954825462,1,1,3,1.545344828,0.07813204,0
77,2.3,22.5,6,5.2183436,0,0,2,1.545344828,0.07813204,0
52,11.5,27.5,6,4.750171116,0,0,1,1.545344828,0.07813204,0
37,13.5,32.5,6,5.07871321,1,0,2,1.545344828,0.07813204,1
62,12.5,32.5,6,2.910335387,1,0,2,1.545344828,0.07813204,0
57,10.5,32.5,6,1.420944559,0,1,4,1.545344828,0.07813204,0
62,8.5,22.5,6,2.455852156,0,0,2,1.545344828,0.07813204,0
72,15,27.5,7,59.93702943,0,0,2,0.883,0.294791037,0
72,6.5,32.5,7,8.613278576,1,0,4,0.883,0.294791037,0
37,13.5,32.5,7,5.579739904,0,0,3,0.883,0.294791037,0
72,9.5,37.5,7,28.19164956,1,0,2,0.883,0.294791037,0
37,15,37.5,7,7.290896646,1,1,3,0.883,0.294791037,1
37,7.5,22.5,7,1.059548255,1,1,4,0.883,0.294791037,1
42,9.5,32.5,7,14.22587269,1,1,8,0.883,0.294791037,1
70,4.8,18.7,7,15.37577002,0,0,2,0.883,0.294791037,0
42,6.5,22.5,7,10.14647502,1,0,1,0.883,0.294791037,0
52,6.5,27.5,7,4.761122519,0,1,4,0.883,0.294791037,0
77,8.5,37.5,7,21.24572211,0,0,3,0.883,0.294791037,0
32,9.5,27.5,7,2.357289528,1,0,1,0.883,0.294791037,0
57,9.5,22.5,7,19.76728268,1,0,4,0.883,0.294791037,1
42,6.5,18.7,7,9.587953457,1,0,1,0.883,0.294791037,1
67,7.5,16.3,7,23.92881588,1,0,8,0.883,0.294791037,0
72,5.3,22.5,7,14.48870637,1,0,4,0.883,0.294791037,0
52,7.5,22.5,7,17.229295,1,0,4,0.883,0.294791037,0
47,15,37.5,7,18.11362081,1,0,3,0.883,0.294791037,0
37,13.5,22.5,7,9.399041752,0,1,5,0.883,0.294791037,1
37,11.5,22.5,7,13.13073238,1,0,2,0.883,0.294791037,0
77,2.3,18.7,7,24.50102669,1,0,2,0.883,0.294791037,0
42,10.5,22.5,7,12.75564682,1,0,3,0.883,0.294791037,0
52,5.8,22.5,7,24.07118412,1,1,4,0.883,0.294791037,0
37,7.5,32.5,7,13.98220397,1,0,2,0.883,0.294791037,0
67,6.5,27.5,7,44.99931554,1,1,4,0.883,0.294791037,0
72,9.5,32.5,7,17.88090349,1,0,4,0.883,0.294791037,1
77,9.5,22.5,7,28.45174538,1,0,4,0.883,0.294791037,0
77,4.8,22.5,7,22.41752225,1,0,3,0.883,0.294791037,0
37,13.5,32.5,7,15.15947981,0,0,2,0.883,0.294791037,1
72,5.3,22.5,7,23.19233402,1,0,2,0.883,0.294791037,1
47,12.5,32.5,7,19.27720739,0,0,5,0.883,0.294791037,1
62,13.5,32.5,7,16.91170431,1,0,5,0.883,0.294791037,0
42,8.5,32.5,7,14.82272416,0,1,3,0.883,0.294791037,0
62,6.5,22.5,7,7.121149897,1,0,1,0.883,0.294791037,0
77,2.8,18.7,7,16.89527721,1,0,4,0.883,0.294791037,0
62,5.8,18.7,7,30.75154004,0,0,7,0.883,0.294791037,0
72,9.5,32.5,7,28.50102669,0,1,4,0.883,0.294791037,0
52,15,27.5,7,17.47022587,1,1,4,0.883,0.294791037,1
70,8.5,32.5,7,16.79945243,0,0,3,0.883,0.294791037,0
72,5.3,22.5,7,10.36824093,1,0,2,0.883,0.294791037,0
32,8.5,32.5,7,18.25051335,1,1,4,0.883,0.294791037,1
42,13.5,32.5,7,8.506502396,1,0,2,0.883,0.294791037,0
32,7.5,18.7,7,21.45653662,0,0,4,0.883,0.294791037,0
47,15,32.5,7,21.15811088,1,0,3,0.883,0.294791037,0
47,11.5,27.5,7,30.2422998,0,0,2,0.883,0.294791037,0
62,7.5,16.3,7,8.386036961,1,1,4,0.883,0.294791037,0
47,4.3,18.7,7,8.221765914,0,0,2,0.883,0.294791037,0
52,15,42.5,7,15.16495551,1,0,2,0.883,0.294791037,0
57,7.5,22.5,7,19.99178645,1,0,1,0.883,0.294791037,0
52,13.5,47.5,7,9.965776865,0,0,3,0.883,0.294791037,0
62,15,42.5,7,7.107460643,0,1,2,0.883,0.294791037,0
67,11.5,22.5,7,26.87748118,1,1,3,0.883,0.294791037,0
47,11.5,22.5,7,13.29226557,1,0,2,0.883,0.294791037,0
72,2.3,18.7,7,28.16974675,1,1,4,0.883,0.294791037,0
42,11.5,22.5,7,8.97467488,1,0,3,0.883,0.294791037,0
57,12.5,22.5,7,14.56262834,0,0,1,0.883,0.294791037,0
37,9.5,37.5,7,10.71594798,1,1,6,0.883,0.294791037,0
72,3.3,27.5,7,14.18754278,1,0,2,0.883,0.294791037,0
77,8.5,32.5,7,20.38329911,1,0,2,0.883,0.294791037,1
70,6.5,22.5,7,17.68651609,1,0,1,0.883,0.294791037,0
57,13.5,27.5,7,30.58453114,1,0,4,0.883,0.294791037,0
57,15,27.5,7,28.16427105,0,1,3,0.883,0.294791037,1
70,9.5,22.5,7,9.188227242,1,0,2,0.883,0.294791037,0
37,7.5,32.5,7,17.80698152,1,0,4,0.883,0.294791037,0
62,15,150,7,23.80835045,0,0,4,0.883,0.294791037,0
62,15,37.5,7,11.57563313,0,0,1,0.883,0.294791037,0
72,0.5,16.3,7,6.004106776,1,0,2,0.883,0.294791037,0
52,12.5,27.5,7,2.483230664,0,0,2,0.883,0.294791037,1
77,2.3,18.7,7,13.31143053,1,0,1,0.883,0.294791037,0
47,9.5,22.5,7,12.90896646,0,0,2,0.883,0.294791037,1
57,4.3,22.5,7,6.904859685,1,0,2,0.883,0.294791037,0
52,15,27.5,7,15.39493498,0,0,2,0.883,0.294791037,1
52,9.5,32.5,7,5.404517454,0,0,1,0.883,0.294791037,0
21,9.5,32.5,7,13.16084873,0,0,2,0.883,0.294791037,0
42,15,42.5,7,13.72758385,0,0,2,0.883,0.294791037,1
57,15,85,9,1.593429158,0,0,1,1.778965517,0.096559726,0
67,15,65,9,1.902806297,0,0,2,1.778965517,0.096559726,0
47,11.5,75,9,14.74606434,1,0,2,1.778965517,0.096559726,0
47,15,47.5,9,3.047227926,1,1,4,1.778965517,0.096559726,1
77,8.5,65,9,2.286105407,0,0,1,1.778965517,0.096559726,0
42,15,75,9,2.119096509,0,0,2,1.778965517,0.096559726,0
37,15,65,9,2.321697468,0,0,3,3.777391304,0.047625085,0
77,11.5,42.5,9,1.248459959,0,0,1,1.658095238,0.063889094,0
47,15,95,9,7.463381246,1,1,4,3.777391304,0.047625085,0
42,15,75,9,6.830937714,1,1,6,1.778965517,0.096559726,0
67,9.5,47.5,9,10.68583162,0,1,2,1.658095238,0.063889094,0
52,15,75,9,7.65229295,1,1,2,1.778965517,0.096559726,0
72,15,55,9,17.18275154,1,1,3,1.778965517,0.096559726,0
37,15,47.5,9,5.601642711,0,0,2,1.778965517,0.096559726,1
57,15,65,9,11.09650924,1,0,1,1.778965517,0.096559726,0
42,15,75,9,12.30663929,0,0,2,1.778965517,0.096559726,0
77,15,65,9,9.067761807,1,0,1,1.778965517,0.096559726,0
37,12.5,95,9,15.36208077,0,0,2,1.778965517,0.096559726,0
62,15,75,9,5.489390828,0,0,2,1.778965517,0.096559726,0
67,15,55,9,7.069130732,1,0,1,1.778965517,0.096559726,0
47,10.5,42.5,9,19.10746064,1,1,4,1.778965517,0.096559726,0
52,15,65,9,16.65982204,1,0,1,1.778965517,0.096559726,0
52,15,65,9,11.1156742,1,1,6,1.778965517,0.096559726,0
42,15,75,9,3.430527036,1,1,3,1.778965517,0.096559726,0
62,15,65,9,18.16016427,1,0,2,1.778965517,0.096559726,0
47,15,75,9,13.96030116,1,1,6,1.778965517,0.096559726,1
77,15,32.5,10,14.97330596,1,0,3,2.503636364,0.136744807,0
47,5.8,18.7,10,18.32443532,1,0,1,2.503636364,0.136744807,1
32,15,55,10,13.77686516,1,0,1,2.503636364,0.136744807,0
32,10.5,32.5,10,20.5065024,1,0,2,2.503636364,0.136744807,0
52,15,75,10,3.039014374,0,1,4,1.514242424,0.050485389,0
62,15,65,10,1.771389459,0,0,3,1.514242424,0.050485389,0
37,12.5,27.5,10,14.18480493,1,0,2,2.503636364,0.136744807,0
37,15,32.5,10,2.98973306,1,0,2,2.503636364,0.136744807,1
62,9.5,32.5,10,6.767967146,1,0,1,2.503636364,0.136744807,1
57,15,32.5,10,7.515400411,0,1,3,1.514242424,0.050485389,1
77,9.5,37.5,10,3.485284052,0,0,3,1.153225807,0.006668057,0
52,15,75,10,4.914442163,0,1,2,1.514242424,0.050485389,0
37,9.5,27.5,10,3.441478439,0,0,1,2.503636364,0.136744807,0
52,15,85,10,2.379192334,0,0,1,1.514242424,0.050485389,0
57,13.5,37.5,10,44.99931554,1,1,4,2.503636364,0.136744807,1
72,15,85,10,3.277207392,1,0,1,1.514242424,0.050485389,0
42,15,37.5,10,1.040383299,0,0,2,2.503636364,0.136744807,0
52,15,37.5,10,2.269678303,0,0,2,2.503636364,0.136744807,1
37,15,150,10,16.29021218,1,0,2,2.503636364,0.136744807,0
52,15,95,10,2.559890486,0,0,3,1.514242424,0.050485389,0
57,15,150,10,1.549623546,0,1,4,1.514242424,0.050485389,0
42,13.5,32.5,10,11.06365503,1,0,3,2.503636364,0.136744807,0
67,15,37.5,10,14.95687885,1,1,5,2.503636364,0.136744807,0
57,15,22.5,10,11.15674196,1,0,2,2.503636364,0.136744807,0
72,3.3,27.5,10,13.92197125,1,1,3,2.503636364,0.136744807,0
77,7.5,32.5,10,23.23613963,1,0,1,2.503636364,0.136744807,0
52,9.5,37.5,10,9.971252567,0,1,3,2.503636364,0.136744807,1
47,15,32.5,10,16.06023272,1,0,3,2.503636364,0.136744807,0
47,15,55,10,16.79671458,0,0,2,2.503636364,0.136744807,0
67,15,22.5,10,15.84120465,1,0,4,2.503636364,0.136744807,1
42,15,42.5,10,14.68583162,1,0,2,2.503636364,0.136744807,0
42,15,32.5,10,10.97330596,1,0,2,2.503636364,0.136744807,0
52,8.5,27.5,10,15.09377139,1,0,2,2.503636364,0.136744807,1
37,8.5,22.5,10,9.360711841,1,1,6,2.503636364,0.136744807,0
52,9.5,27.5,10,2.223134839,0,0,2,2.503636364,0.136744807,0
52,11.5,22.5,10,16.04106776,1,0,3,2.503636364,0.136744807,1
57,15,27.5,10,18.66392882,1,1,6,2.503636364,0.136744807,0
57,8.5,32.5,10,24.83504449,1,1,4,2.503636364,0.136744807,0
47,15,32.5,10,22.16563997,0,0,2,2.503636364,0.136744807,0
52,6.5,32.5,10,13.36344969,0,0,1,2.503636364,0.136744807,1
52,13.5,32.5,10,18.23134839,1,0,2,2.503636364,0.136744807,0
57,15,37.5,10,24.66803559,1,0,3,2.503636364,0.136744807,0
70,5.8,27.5,10,16.58316222,1,0,5,2.503636364,0.136744807,0
62,5.8,27.5,10,21.77960301,1,0,3,2.503636364,0.136744807,0
77,15,27.5,10,8.87063655,0,0,3,2.503636364,0.136744807,1
42,15,42.5,10,22.54893908,1,0,1,2.503636364,0.136744807,0
42,9.5,32.5,10,44.99931554,0,0,3,2.503636364,0.136744807,0
57,15,37.5,10,15.50444901,1,0,4,2.503636364,0.136744807,1
72,7.5,27.5,10,44.99931554,1,0,2,2.503636364,0.136744807,0
62,9.5,18.7,10,9.45927447,1,0,2,2.503636364,0.136744807,0
67,3.8,18.7,10,8.736481862,1,0,2,2.503636364,0.136744807,0
77,15,150,10,16.3394935,1,0,2,2.503636364,0.136744807,0
52,15,32.5,10,16.30116359,1,1,5,2.503636364,0.136744807,0
62,15,27.5,10,32.41615332,0,0,2,2.503636364,0.136744807,0
37,7.5,42.5,10,24.38877481,0,0,2,2.503636364,0.136744807,0
57,15,75,10,12.3613963,0,1,3,1.514242424,0.050485389,0
62,9.5,37.5,10,17.42094456,0,1,4,1.153225807,0.006668057,0
42,15,85,10,18.41752225,1,1,4,1.514242424,0.050485389,0
70,15,47.5,10,54.99794661,1,0,3,1.514242424,0.050485389,0
70,15,95,10,16.41615332,0,1,4,1.514242424,0.050485389,0
42,15,47.5,10,12.59137577,0,0,3,2.503636364,0.136744807,0
42,9.5,27.5,10,7.520876112,0,0,1,2.503636364,0.136744807,1
37,12.5,65,10,4.676249144,1,1,2,1.514242424,0.050485389,0
77,5.8,32.5,10,15.36208077,1,0,4,2.503636364,0.136744807,0
32,15,47.5,10,5.681040383,1,1,4,1.153225807,0.006668057,0
67,5.8,22.5,10,7.06091718,0,0,4,2.503636364,0.136744807,0
27,5.3,22.5,10,21.50308008,0,0,4,2.503636364,0.136744807,0
52,15,32.5,10,2.95687885,0,0,2,2.503636364,0.136744807,0
57,13.5,27.5,10,2.327173169,1,0,2,1.514242424,0.050485389,0
62,15,85,10,7.427789186,1,1,4,1.514242424,0.050485389,0
67,15,75,10,7.110198494,1,0,2,1.514242424,0.050485389,0
62,5.8,55,10,6.617385353,0,0,1,1.514242424,0.050485389,1
77,5.3,32.5,10,7.326488706,0,0,2,1.153225807,0.006668057,1
57,7.5,32.5,10,13.06228611,0,1,4,2.503636364,0.136744807,0
77,4.3,37.5,10,13.71389459,0,0,3,2.503636364,0.136744807,0
67,7.5,27.5,10,6.926762491,0,0,2,2.503636364,0.136744807,1
72,5.8,27.5,10,13.61806982,1,0,2,2.503636364,0.136744807,1
37,11.5,27.5,10,24.41615332,1,0,5,2.503636364,0.136744807,0
47,10.5,37.5,10,1.034907598,0,0,1,2.503636364,0.136744807,0
47,15,32.5,10,14.39288159,1,1,3,2.503636364,0.136744807,0
42,15,47.5,10,5.9137577,0,1,4,2.503636364,0.136744807,0
37,4.3,27.5,13,1.223819302,1,0,1,1.026785714,0.063889094,1
52,9.5,22.5,13,1.478439425,1,0,2,1.026785714,0.063889094,0
52,9.5,37.5,13,1.262149213,1,0,2,1.026785714,0.063889094,0
52,6.5,32.5,13,9.590691307,0,0,2,1.026785714,0.063889094,1
57,6.5,27.5,13,18.2642026,1,0,1,1.026785714,0.063889094,0
77,12.5,37.5,14,4.815879535,0,0,1,1.238846154,0.050485389,0
47,15,85,14,5.546885695,0,1,3,1.238846154,0.050485389,0
32,15,55,14,10.0698152,1,0,1,1.238846154,0.050485389,0
37,15,42.5,14,3.58384668,1,1,5,1.238846154,0.050485389,0
77,7.5,42.5,14,14.66392882,0,0,3,1.238846154,0.050485389,1
42,8.5,47.5,14,13.80698152,1,1,2,1.238846154,0.050485389,1
67,3.8,37.5,14,1.229295003,0,0,3,1.238846154,0.050485389,1
47,15,37.5,14,1.859000685,1,0,3,1.238846154,0.050485389,1
52,6.5,32.5,14,1.631759069,1,0,2,1.238846154,0.050485389,0
42,15,75,14,1.311430527,1,0,1,1.238846154,0.050485389,0
47,6.5,55,14,3.529089665,0,0,1,1.238846154,0.050485389,0
72,7.5,95,14,19.13483915,0,1,3,1.238846154,0.050485389,0
77,10.5,37.5,14,11.43052704,0,0,2,1.238846154,0.050485389,1
77,10.5,37.5,14,8.610540726,0,0,1,1.238846154,0.050485389,0
70,9.5,22.5,14,13.0349076,1,0,2,1.238846154,0.050485389,0
77,10.5,65,14,8.34770705,0,0,2,1.238846154,0.050485389,0
62,6.5,55,14,14.55715264,0,0,2,1.238846154,0.050485389,0
57,15,47.5,14,19.90143737,0,0,2,1.238846154,0.050485389,0
77,3.3,55,14,21.25941136,0,0,2,1.238846154,0.050485389,0
57,9.5,47.5,14,5.308692676,0,0,2,1.238846154,0.050485389,1
42,4.8,18.7,15,4.424366872,1,0,2,1.08559322,0.110353056,0
32,15,42.5,15,10.58726899,1,0,1,4.599166667,0.064202275,0
57,4.8,22.5,15,1.9137577,0,0,1,1.08559322,0.110353056,0
47,12.5,22.5,15,2.039698836,1,1,2,1.08559322,0.110353056,0
70,4.8,11.3,15,3.65229295,1,0,1,1.08559322,0.110353056,0
47,5.3,13.7,15,2.798083504,1,1,4,1.08559322,0.110353056,0
32,3.8,11.3,15,2.360027379,0,0,2,1.08559322,0.110353056,0
52,10.5,22.5,15,2.362765229,1,0,2,1.08559322,0.110353056,0
77,2.3,32.5,15,1.782340862,0,1,2,1.154,0.068439488,0
47,9.5,18.7,15,1.691991786,0,0,1,1.08559322,0.110353056,0
27,9.5,32.5,15,1.503080082,0,0,2,1.154,0.068439488,0
47,4.8,16.3,15,1.242984257,1,0,3,1.08559322,0.110353056,1
77,3.8,42.5,15,9.130732375,1,1,3,1.154,0.068439488,0
57,6.5,18.7,15,33.16632444,0,0,4,1.08559322,0.110353056,0
47,3.8,27.5,15,17.67830253,0,0,2,4.599166667,0.064202275,0
42,7.5,22.5,15,8.662559891,1,0,3,1.154,0.068439488,0
52,15,32.5,15,11.83572895,1,0,4,1.08559322,0.110353056,0
67,3.8,16.3,15,23.64681725,1,0,2,1.08559322,0.110353056,0
47,7.5,18.7,15,16.41067762,1,0,3,1.08559322,0.110353056,0
62,11.5,18.7,15,13.83709788,0,1,7,1.08559322,0.110353056,0
47,10.5,18.7,15,12.34223135,1,0,3,1.08559322,0.110353056,0
47,8.5,16.3,15,15.76454483,0,1,5,1.08559322,0.110353056,1
32,7.5,18.7,15,16.65160849,1,1,3,1.08559322,0.110353056,0
57,6.5,16.3,15,27.58384668,1,0,2,1.08559322,0.110353056,0
52,6.5,11.3,15,19.84668036,0,0,2,1.08559322,0.110353056,0
67,7.5,18.7,15,26.99794661,1,1,3,1.08559322,0.110353056,1
42,8.5,16.3,15,11.14579055,0,0,5,1.08559322,0.110353056,1
67,9.5,18.7,15,11.57563313,1,0,3,1.08559322,0.110353056,0
57,7.5,18.7,15,10.22313484,1,0,1,1.08559322,0.110353056,0
42,4.8,16.3,15,23.53456537,0,0,3,1.08559322,0.110353056,0
47,7.5,18.7,15,28.85420945,0,0,3,1.08559322,0.110353056,1
62,5.8,18.7,15,25.25119781,1,0,4,1.08559322,0.110353056,0
57,6.5,22.5,15,10.91307324,1,0,2,1.08559322,0.110353056,0
62,10.5,22.5,15,34.99794661,1,1,6,1.08559322,0.110353056,0
52,5.8,16.3,15,14.66666667,0,1,3,1.08559322,0.110353056,0
47,5.8,18.7,15,22.35181383,0,1,5,1.08559322,0.110353056,0
70,6.5,16.3,15,24.40246407,0,0,5,1.08559322,0.110353056,0
77,0.5,16.3,15,18.80082136,1,0,2,1.08559322,0.110353056,0
77,3.3,13.7,15,23.17043121,0,0,3,1.08559322,0.110353056,0
52,9.5,13.7,15,21.71663244,0,0,4,1.08559322,0.110353056,0
57,9.5,18.7,15,18.97878166,1,0,1,1.08559322,0.110353056,0
72,1.3,11.3,15,24.21355236,1,0,3,1.08559322,0.110353056,0
37,8.5,22.5,15,19.69062286,1,1,5,1.08559322,0.110353056,0
62,7.5,13.7,15,13.47296372,1,0,2,1.08559322,0.110353056,1
62,9.5,18.7,15,22.00410678,1,1,4,1.08559322,0.110353056,0
52,7.5,16.3,15,29.42915811,0,1,6,1.08559322,0.110353056,1
52,9.5,22.5,15,24.56947296,1,1,6,1.08559322,0.110353056,0
42,8.5,18.7,15,13.57700205,1,0,2,1.08559322,0.110353056,0
72,8.5,18.7,15,27.56194387,1,1,3,1.08559322,0.110353056,0
